FID,Name,Cnt_NOME_TI23,Ave_OBJECTID,Sum_Area_km
-1,Jacarepba/Katauixi,1,624,4378.025745
-1,Jamamadi do Lourdes,1,716,99.16582964
-1,Jaminaua/Envira,1,363,770.9397736
-1,Jaminawa Arara do Rio Bagn,1,722,99.1174077
-1,Jaminawa Arara do Rio Bagr,1,472,277.8137235
-1,Jaminawa da Colocarao Sao Paulino,1,703,98.9347595
-1,Jaminawa do Guajare,1,720,97.49238873
-1,"Jaminawa do Igarap, Preto",1,355,248.7097354
-1,Jaminawa do Rio Caetr,1,719,98.4702266
-1,Japuira,1,754,1463.533196
-1,Jaquiri,1,539,19.60900291
-1,Jarawara/Jamamadi/Kanamati,1,791,3802.517813
-1,Jarudore,1,456,43.68401509
-1,Jatuarana,1,347,52.08806128
-1,Jauary,1,660,105.9200259
-1,Juininha,1,615,649.8315097
-1,Juma,1,525,375.4777736
-1,Jumina,1,378,471.9321843
-1,Juruna do Km 17,1,646,106.4444993
-1,Kampa do Igarapd Primavera,1,360,211.6851642
-1,Kampa do Rio Amonea,1,401,824.3555323
-1,Kampa e Isolados do Rio Envira,1,399,2217.388962
-1,Kanamari do Rio Juru,1,412,5898.832471
-1,Kanela,2,509.5,1343.711089
-1,Kapotnhinore,1,682,97.84909942
-1,Karaj,5,457,121.331039
-1,KararaU,1,471,3341.201247
-1,Karipuna,1,352,1458.049741
-1,Karitiana,2,611,958.3795675
-1,Katukina/Kaxinaww,1,405,225.2197687
-1,Kawahiva do Rio Pardo,1,617,3939.706114
-1,Kaxarari,1,767,1401.087761
-1,Kaxinaw,8,466.875,3399.260495
-1,KaxinawD Seringal Independencia,1,400,110.8007315
-1,Kaxuyana,1,749,110.0064837
-1,Kayap,1,365,31931.17659
-1,Km 43,1,657,104.5684963
-1,Koatinemo,1,381,3910.209325
-1,Krah0-Kanela,1,623,72.78223043
-1,Kraolandia,1,454,2955.554809
-1,Krenreh,1,759,56.23554238
-1,Krikati,1,442,1436.536436
-1,Kulina do Medio Jurua,1,522,7105.953095
-1,Kulina do Rio Envira,1,356,783.9692401
-1,Kulina do Rio Uern - Matatibem,1,707,103.4438529
-1,Kulina Igarapo do Pau,1,358,436.9171007
-1,Kumaru do Lago Ual,1,552,818.3506153
-1,Kuru0ya,1,574,1652.870035
-1,Kwaz0 do Rio Sao Pedro,1,361,157.311214
-1,Lago Aiapua,1,424,241.0310322
-1,Lago Capana,1,636,62.54798821
-1,Lago do Barrigudo,1,671,104.7517711
-1,Lago do Beruri,1,465,43.3310901
