Name,TI_def_km
Munduruku-Taquara,9.329846256
Muratuba,22.77315392
Muratuba do Par ,11.10790587
Muriru,7.548441405
Murutinga,54.43602065
Nambikwara,27.11635584
Nau0,2.786654151
Nhamund,136.0926767
Nova Esperan,4.24478447
Nova Jacund ,1.41286615
Nova Vista,25.51262122
Nove de Janeiro,10.56741418
Nukini,42.08918923
Pacaas Novas,53.15032473
Pacaj,4.038842245
Padre,1.133208446
Panar,154.3668315
Pantaleao,49.88334351
Paqui,51.35773821
Paracuhuba,2.955126362
Parakana,30.38353418
Paran,12.02774952
Parana do Boa Boa,6.299053639
Paresi,2.86641058
Parque do Araguaia,56.60473227
Parque do Aripuana,45.75137471
Parque do Tumucumaque,111.4104313
Parque do Xingu,367.8148546
Patau,1.732609632
Paukalirajausu,0.210745118
Paumari do Cuniua,1.87482969
Paumari do Lago Manissua,1.283406905
Paumari do Lago Maraha,10.55333905
Paumari do Lago Parico,1.16856159
Paumari do Rio Ituxi,0.697119137
Peneri/Tacaquiri,16.58833385
Pequizal,9.370609221
Pequizal do Naruv tu,49.49197543
Perigara,7.820469035
Pimental,24.63398008
Pimentel Barbosa,19.81212938
Pinatuba,9.751797814
Piraha,18.39558938
Pirineus de Souza,29.23503789
Piripkura ( Interdilao ),92.49682472
Pium,1.536241287
Ponciano,30.0814502
Ponte de Pedra,0.0151475
Porquinhos,40.92875093
Portal do Encantado,39.17606615
Porto Limoeiro,0.233599371
Porto Praia,0.060518401
Porto RedenAao,8.344964881
Poyanawa,15.55120251
Praia do Indio,0.317740712
Praia do Mangue,0.302523285
Prosperidade,0.17564447
Purubor,65.47552763
Raimundao,11.94755084
Raposa Serra do Sol,225.3065023
Recreio/Sao F3lix,2.191144072
Rio Apaporis,5.255544709
Rio Arraias/BR 080,3.215754654
Rio BiU,29.67794971
Rio Branco,35.36899362
Rio Formoso,26.42466628
Rio Greglrio,16.45062287
Rio Gregmrio,21.1463291
Rio Guapor,21.43187926
Rio Jumas,1.936290828
Rio ManicorU,2.033208564
Rio Mara,0.211385332
Rio Mequens,37.1871801
Rio Negro Ocaia,35.24953117
Rio Omerl,42.1063801
Rio Paru D'Este,15.09301627
Rio Pindar,88.03470019
Rio T,10.40953654
Rio Urubu,41.31030623
Riozinho,0.618371968
Riozinho do Alto Envira,2.061440284
Rodeador,4.092322896
Roosevelt,48.22919649
Sagarana,11.50758098
Sai-Cinza,18.56558096
Sakoa/Santa Vit ria,0.798054781
Sangradouro/Volta Grande,0.135334877
Santa Cruz da Nova Alianta,3.315139121
Santa Inez,6.035846614
Santana,2.653390935
Sao Domingos - MT,0.20005903
Sao Domingos do Jacapari e Estaoao,7.598120719
Sao Francisco,46.03526145
Sao Francisco do Canimari,1.463527142
Sao Gabriel/Sao Salvador,5.666086603
Sao Joao,34.78639848
Sao Leopoldo,10.80792701
Sao Luiz do TapajCs,61.46131354
Sao Marcos - RR,100.0346064
Sao Pedro,1.334698098
Sao Pedro do Sepatini,0.989064339
Sao Sebastiao,6.371292614
Sao Sebastiao Meneroazinho,1.655976672
Sapotal,0.733118955
Sarar,41.88679392
Sarau,55.35965659
Sepoti,16.81861151
Serra da MoUa,1.215634384
Serra Morena,8.197866812
Seruini/Mariene,2.648999367
Sete de Setembro,58.60957869
Setema,4.503777441
Sissa,69.44004673
Soror,112.9374521
Sucuba,0.702412076
Sururue,5.699354274
Tabalascada,27.27993269
Tabocal,1.89076953
Tadarimana,5.459577863
Taihantesu,3.398308043
Tanaru ( InterdiIao ),7.135025941
Tapirap,18.34987667
Temb0,5.212647601
Tenharim do Igarapx Preto,11.2583489
Tenharim Marmelos,34.50290758
Tenharim Marmelos (Gleba B),41.72106035
Terena Gleba Iriri,10.8983811
Tereza Cristina,1.751399553
Terra Vermelha,22.35020125
Tik0na de Feijoal,18.23072596
Tikuna de Santo Antonio,9.801414496
Tirecatinga,1.065696932
Tor0,3.852417475
Trincheira,2.269546139
Trincheira Bacaja,78.10414396
TrocarU,12.79122779
Trombetas/Mapuera,38.76126509
Truaru,3.283362282
Tubarao Latunde,19.54967846
Tukuna Porto Espiritual,3.849140179
Tukuna Umariaau,13.69787194
Tumia,5.482854846
Tunayana,0.03410172
Tupa-Supl,0.789835173
Tur0/Mariquita,0.671190688
Tur0/Mariquita II,2.120979085
Ua6a,77.02076748
Uati-Paran,15.81123063
Ubawawe,0.485748449
Umutina,11.6677528
Uneiuxi,6.730034132
Uru-Eu-Wau-Wau,199.9035605
Urubu Branco,312.9193331
Urucu/Juru,27.36825404
Utaria Wyhyna/Iradu Irrna,2.71606098
Utiariti,11.50722061
Vale do Guapor ,111.1518513
Vale do Javari,240.6766726
Valparaiso,9.58738589
Vila Real,34.34397144
Vista Alegre,16.49397423
Vui-Uata-In,19.86943776
Wahuri,0.088094425
Waiapi,22.04664388
Waimiri-Atroari,38.48685405
WaiW0i,44.86897737
Wawi,100.9247108
XambioU,6.058758998
Xikrin do Rio Catete,64.01401684
Xipaya,1.324780354
Yanomami,570.1904943
Zo'e,14.23339653
Zor0,219.1926948
Zuruaha,12.23829318
,
,
,17546.01434
,45.10543532
