OBJECTID,GID0,Op_ID,NOME1,ESTAGIO2,LATITUDE5,LONGITUD6,COMPFIN7,MUNIC110,MUNIC212,UF113,UF214,RIO17,Output_KW,AREA_RES25,Flooded Area,CONTR_BEGI,RES_FILL,OPER_Month,OPER_Year
20,82,,Cachoeira Sio Josn,Inventoried,-8.801667,-66.209444,N6O,Lambrea, ,AM, ,Endimari,36000,103.78,,,,,
21,83,,Cachoeira Velha,Inventoried,-10.238056,-46.873056,N4O,Mateiros, ,TO, ,Novo,81000,1.95,,,,,
22,84,,porto da Serra I,Inventoried,-12.989414,-58.958098,N5O,Sapezal,Campos de Jolio,MT,MT,Juruena (Trecho entre a foz do rio Ju9na e a ponte da rodovia MT-235),64000,2.57,,,,,
23,98,,Canto do Rio,Technical Feasibility Registered,-8.616944,-45.788333,N4O,Santa Filomena,Tasso Fragoso,PI,MA,Parna ba,65000,76,,,,,
24,100,,Casca III,Operational,-15.358611,-55.461667,SIM,Chapada dos GuimarSes, ,MT, ,Casca,12420,0,,,,,
25,108,,Cinta Larga,Inventoried,-10.963056,-58.331667,N5O,Brasnorte,Juara,MT,MT,do Sangue,193700,165.3,,,,,
26,109,3,Coaracy Nunes,Operational,0.9035,-51.2588,SIM,Ferreira Gomes,Macapo,AP,AP,Araguari,"76,952",30.37,30.37,1967,1975,12,1975
27,110,,Colider,Technical Feasibility Registered,-10.984722,-55.762778,N5O,Nova Cana do Norte,Itaiba,MT,MT,Teles Pires,342000,123.32,,,,,
28,118,4,Curuá-Una,Operational,-2.811667,-54.298889,SIM,Santarém,,PA,,Curua-Una,"30,300",106.25,106.25,1968,1977,1,1977.00
29,119,5,Dardanelos,Operational,-10.163333,-59.464167,N5O,Aripuan,,MT,,Aripuan,"261,000",0,0,2007,2011,8,2001.00
30,132,6,Estreito,Operational,-6.587222,-47.459444,N4O,Babaçulândia,Estreito,TO,,Tocantins,"1,087,000",635.83,94.69,2007,2010,4,2001.00
30,132,7,Estreito,Operational,-6.587222,-47.459444,N4O,Barra do Ouro,Estreito,TO,,Tocantins,"1,087,000",635.83,47.78,2007,2010,4,2001.00
30,132,8,Estreito,Operational,-6.587222,-47.459444,N4O,Darcinópolis,Estreito,TO,,Tocantins,"1,087,000",635.83,39.04,2007,2010,4,2001.00
30,132,9,Estreito,Operational,-6.587222,-47.459444,N4O,Filadélfia,Estreito,TO,,Tocantins,"1,087,000",635.83,114.44,2007,2010,4,2001.00
30,132,10,Estreito,Operational,-6.587222,-47.459444,N4O,Goiatins,Estreito,TO,,Tocantins,"1,087,000",635.83,15,2007,2010,4,2001.00
30,132,11,Estreito,Operational,-6.587222,-47.459444,N4O,Itapiratins,Estreito,TO,,Tocantins,"1,087,000",635.83,15.24,2007,2010,4,2001.00
30,132,12,Estreito,Operational,-6.587222,-47.459444,N4O,Palmeirante,Estreito,TO,,Tocantins,"1,087,000",635.83,25.45,2007,2010,4,2001.00
30,132,13,Estreito,Operational,-6.587222,-47.459444,N4O,Palmeiras do Tocantins,Estreito,TO,,Tocantins,"1,087,000",635.83,28.02,2007,2010,4,2001.00
30,132,14,Estreito,Operational,-6.587222,-47.459444,N4O,Tupiratins,Estreito,TO,,Tocantins,"1,087,000",635.83,0.89,2007,2010,4,2001.00
30,132,15,Estreito,Operational,-6.587222,-47.459444,N4O,Carolina,Estreito,MA,,Tocantins,"1,087,000",635.83,206.43,2007,2010,4,2001.00
