Name,TI_never_for_km
Waimiri-Atroari,609.0417465
WaiW0i,4.059351009
Wawi,170.9207479
Xerente,1580.000402
Xikrin do Rio Catete,0.844515467
Yanomami,280.1039608
Zo'e,89.97820198
Zor0,0.214564439
,
,130993.328
,559.8005468
