OBJECTID,ID_UC0,Name,ID_WCMC2,class,type,gov_level,year_created,GID7,QUALIDAD8,ATO_LEGA9,DT_ULTIM10,CODIGO_U11,NOME_ORG12,Type,GID0,SIGLA1,OBS_AREA2,REV3,EM_REVIS4,CODAREAR5,ADR6,AREAETNO7,POPULANO8,GRUPOS9,UF10,MUNICSPI11,ETAPA12,SITUACAO13,TITULO14,DOCUMENT15,DATADOC16,EXTENSO17,TIPO18,CDOC19,FLUXO20,CODTI21,NOME_ARE22,NOME_TI23,CODAREA24,Near_OpDam_ID,NEAR_DIST_OpDam_m,NEAR_FID,NEAR_DIST
651,,,,,,,,,,,,,,0,519,TI, ,0,0,0,Manaus,XIV,0,Tupaiu,PA,Santar,Estudos complementares,Em estudo,"Portaria nm 777, de 4 de julho de 2008",Portaria FUNAI - Cria GT,7/4/2008,Principal,1,Port GT,40,61200,Aningalzinho,Aningalzinho,61201,3,105158.9593,28,105169.5456
372,,,,,,,,,,,,,,0,66,TI, ,0,0,0,Boa Vista,XI,114,"Makuxi, Wapixana",RR,Alto Alegre,Concluldo,Regularizada,Certidao 003,Registro SPU,11/20/1995,Principal,1,Reg SPU,380,2200,Anta,Anta,2201,0,608216.499,59,493888.3964
373,,,,,,,,,,,,,,0,67,TI, ,0,0,0,Ju,XVII,204,Apiak,MT,Juara,Conclu/do,Regularizada,Certidao 19,Registro SPU,11/24/1988,Principal,1,Reg SPU,380,2300,Apiaka/Kayabi,Apiaka/Kayabi,2301,4,220622.6042,25,80724.17994
738,,,,,,,,,,,,,,0,612,TI, ,0,0,0,AraguaUna,I,0,ApinayU,TO,Tocantinapolis e Nazar ,Planejamento,Em estudo,Memo CGID,Memorando DAF - Inclusao no BD,6/2/2008,Principal,1,XXX,10,67300,Apinayp II,Apinayp II,67301,5,32935.46529,30,32941.46861
586,,,,,,,,,,,,,,0,389,TI, ,0,0,0,Aragua,I,964,Apinay,TO,"Cachoeirinha, Maurillndia do Tocantins, Sao Bento do Tocantins, Tocantinapolis",Concluido,Regularizada,TO-02,Registro SPU,6/27/1989,Principal,1,Reg SPU,380,2400,ApinayU,ApinayU,2401,5,23456.10557,30,23430.33147
733,,,,,,,,,,,,,,0,602,TI, ,0,0,0,Manaus,X,68,Mura,AM,Careiro da Vdrzea,Concluodo,Regularizada,Certidao nd 33,Registro SPU,10/26/2004,Principal,1,Reg SPU,380,2500,Apipica,Apipica,2501,0,158713.0511,6,158704.2647
768,,,,,,,,,,,,,,0,687,TI, ,0,0,0,Manaus,XIII,58,Apurina,AM,LMbrea,Processo de homologaaao,Declarada,Memorando n  116/CGDP/2009,Memo/CGD - Libera pePas t9cnicas,7/27/2009,Principal,1,Memora Dem,305,52600,Apurina do Igarap  Mucuim,Apurina do Igarap  Mucuim,52601,23,224242.9443,19,109669.193
607,,,,,,,,,,,,,,0,421,TI, ,0,0,0,Manaus,XIV,58,Apurina,AM,Tapaun,Conclu,Regularizada,Certidao nd 004,Registro SPU,6/18/2009,Principal,1,Reg SPU,380,2700,Apurina do Igarapg Sao Joao,Apurina do Igarapg Sao Joao,2701,41,341598.3676,66,341604.0775
462,,,,,,,,,,,,,,0,193,TI, ,0,1,2802,Manaus,XIV,120,Apurina,AM,Tapaun,Conclu,Regularizada,Certidao 006,Registro SPU,4/16/1996,Principal,1,Reg SPU,380,2800,Apurina Igarap,Apurina Igarap,2801,41,321242.5855,66,321247.668
675,,,,,,,,,,,,,,0,543,TI, ,2,0,0,Manaus,XIV,120,Apurina,AM,Tapaun,Estudos complementares,Em estudo,"Portaria nm 1034, de 11 de novembro de 2003",Portaria FUNAI - Cria GT,11/11/2003,Revisao,2,Port GT,40,2800,Apurina Igarap  Tauamirim,Apurina Igarap  Tauamirim,2802,41,362356.132,66,362361.6326
530,,,,,,,,,,,,,,0,307,TI, ,0,0,0,Rio Branco,XIV,160,Apurina,AM,"Boca do Acre, Librea",Concluodo,Regularizada,Certidao 17,Registro SPU,12/14/1999,Principal,1,Reg SPU,380,2900,Apurina Km 124 BR-317,Apurina Km 124 BR-317,2901,23,254162.2319,20,106422.3697
580,,,,,,,,,,,,,,0,379,TI, ,0,0,0,Altamira,VIII,219,Parakana,PA,Sao Falix do Xingu,Concluldo,Regularizada,Certidao s/n,Registro SPU,10/14/2008,Principal,1,Reg SPU,380,3000,Apyterewa,Apyterewa,3002,51,251697.4463,10,233174.2295
374,,,,,,,,,,,,,,0,68,TI, ,0,0,0,Boa Vista,XI,308,"Makuxi, Wapixana",RR,Amajari,Concluido,Regularizada,Certidao 013,Registro SPU,11/28/1995,Principal,1,Reg SPU,380,3100,Ara0,Ara0,3101,0,626813.8726,59,511735.8338
370,,,,,,,,,,,,,,0,64,TI, ,0,0,0,Altamira,VIII,135,Arara,PA,"Altamira, Brasil Novo, Medicil ndia, Uruarr",Conclurdo,Regularizada,Certidao 004,Registro SPU,6/22/1994,Principal,1,Reg SPU,380,3200,Arara,Arara,3201,3,138369.6228,10,115028.6685
734,,,,,,,,,,,,,,0,603,TI, ,0,0,0,Altamira,VIII,80,Arara,PA,Senador JosU Porf,Planejamento demarcaoao,Declarada,"Portaria nt 1233, de 30 de junho de 2008",Portaria Declarat ria,6/30/2008,Principal,1,Port Decl,230,60000,Arara da Volta Grande do Xingu,Arara da Volta Grande do Xingu,60001,51,214125.0554,10,41514.95157
568,,,,,,,,,,,,,,0,363,TI, ,0,0,0,Rio Branco,XV,170,Arara,AC,"Porto Walter, Tarauacs",ConcluWdo,Regularizada,Certidao nd 001,Registro SPU,11/29/2006,Principal,1,Reg SPU,380,3400,Arara do Igarap,Arara do Igarap,3401,23,826388.8924,20,660671.9637
760,,,,,,,,,,,,,,0,673,TI, ,0,0,0,Rio Branco,XV,278,Arara,AC,Marechal Thaumaturgo,Planejamento demarca,Declarada,"Portaria nt 2986, de 8 de setembro de 2009",Portaria Declarat ria,9/8/2009,Principal,1,Port Decl,230,51800,Arara do Rio Amonia,Arara do Rio Amonia,51801,23,886930.4698,20,725884.0999
375,,,,,,,,,,,,,,0,69,TI, ,0,0,0,Ju,XVII,150,Arara,MT,Aripuana,Conclundo,Regularizada,Certidao 011,Registro SPU,2/26/1998,Principal,1,Reg SPU,380,3300,Arara do Rio Branco,Arara do Rio Branco,3301,4,24450.80182,29,24463.6208
376,,,,,,,,,,,,,,0,70,TI, ,0,0,0,Imperatriz,VII,4174,Guaj,MA,"Amarante do Maranhao, Arame, Bom Jesus das Selvas, Buriticupu, Graja",Conclutdo,Regularizada,Certidao s/n,Registro SPU,12/12/1996,Principal,1,Reg SPU,380,3600,Arariboia,Arariboia,3601,5,163469.6897,73,91114.91273
631,,,,,,,,,,,,,,0,464,TI, ,0,0,0,Manaus,X,221,Mura,AM,"Borba, Novo Aripuana",Planejamento demarca,Declarada,"Portaria nt 2735, de 19 de agosto de 2009",Portaria Declarat ria,8/19/2009,Principal,1,Port Decl,230,3700,Arary,Arary,3701,0,304892.0186,6,304885.4203
491,,,,,,,,,,,,,,0,243,TI, ,0,0,0,Altamira,VIII,247,Arawetr,PA,"Altamira, Sao F,lix do Xingu, Senador Josu Porf",Conclurdo,Regularizada,Certidao S/N,Registro SPU,5/20/1997,Principal,1,Reg SPU,380,3800,ArawetU IgarapF Ipixuna,ArawetU IgarapF Ipixuna,3801,3,238474.623,10,143566.7802
331,,,,,,,,,,,,,,0,1,TI, ,0,1,3902,Nova Xavantina,I,832,Xavante,MT,Agua Boa,Concluodo,Regularizada,Certidao 071,Registro SPU,10/30/1997,Principal,1,Reg SPU,380,3900,Areoes,Areoes,3901,34,372634.7404,79,109617.5024
690,,,,,,,,,,,,,,0,558,TI, ,2,0,0,Nova Xavantina,I,832,Xavante,MT,"Agua Boa, Cocalinho, Nova Nazaro","Anulise da delimita,ao",Em estudo,Relattrio de Identificavao e Delimitadao da TI Areoes,Relattrio do GT (Antropvlogo Coordenador),6/3/2004,Revisao,2,Rel GT,110,3900,Areoes,Areoes,3902,34,390050.983,79,133733.8078
362,,,,,,,,,,,,,,0,52,TI, ,0,0,0,Cacoal,XVI,149,Cinta Larga,MT,"Aripuana, Ju na",Conclundo,Regularizada,Certidao 012,Registro SPU,1/25/1994,Principal,1,Reg SPU,380,4200,Aripuana,Aripuana,4201,4,19091.38011,29,19104.83113
