"","ID","Municipality"
"558",483," Cant"
"559",484,"Itaipava do Graja "
"560",485,"Barao de Melgaao"
"561",485," Pocont"
"562",486,"Tangar"
"563",487,"Barra do Bugres"
"564",487," Tangar  da Serra"
"565",488,"Grajaj"
"566",489,"Jacareacanga"
"567",490,"Amajari"
"568",491,"Altamira"
"569",491," Sao F"
"570",491,"lix do Xingu"
"571",491," Senador Josu Porf"
"572",492,"Amajari"
"573",493,"Bonfim"
"574",494,"Tarauacn"
"575",495,"Comodoro"
"576",496,"Bom Jesus do Tocantins"
"577",497,"Boa Vista"
"578",498,"Alto Alegre"
"579",499,"Boa Vista"
"580",500,"Alta Floresta d'Oeste"
"581",500," Sao Francisco do Guaporf"
"582",500," Sao Miguel do Guapor"
"583",501,"Guajar"
"584",501,"-Mirim"
"585",502,"Alto Alegre do Parecis"
"586",503,"Guajaro-Mirim"
"587",504,"Alto Alegre"
"588",504," Boa Vista"
"589",505,"Cacoal"
"590",505," Espigao d'Oeste"
"591",505," Rondolcndia"
"592",506,"Baiao"
"593",506," Tucurub"
"594",507,"Chupinguaia"
"595",508,"Barra do Bugres"
"596",509,"Tocantenia"
"597",510,"Agua Azul do Norte"
"598",510," MarabR"
"599",510," Parauapebas"
"600",511,"Aripuana"
"601",512,"Tomb-Adu"
"602",513,"Manoel Urbano"
"603",513," Santa Rosa do Purus"
"604",514,"Grajaj"
"605",515,"Juara"
"606",515," Nova Canaa do Norte"
"607",515," Tabapora"
"608",516,"Porto Velho"
"609",517,"Comodoro"
"610",517," Nova Lacerda"
"611",518,"Quer"
"612",519,"Lambrea"
"613",520,"Pauini"
"614",521,"Pauini"
"615",522,"Eirunepi"
"616",522," Envira"
"617",522," Ipixuna"
"618",522," Tarauaca"
"619",523,"Japurs"
"620",523," Sao Gabriel da Cachoeira"
"621",524,"Japura"
"622",525,"Canutama"
"623",526,"Lambrea"
"624",527,"Amatur"
"625",528,"Jutan"
"626",529,"Aveiro"
"627",529," Barreirinha"
"628",529," Itaituba"
"629",529," Mau s"
"630",529," Parintins"
"631",530,"Boca do Acre"
"632",530," Librea"
"633",531,"Humaiti"
"634",531," ManicorR"
"635",532,"Lambrea"
"636",533,"Boca do Acre"
"637",534,"Careiro da V"
"638",535,"Uarini"
"639",536,"Humait"
"640",537,"Fonte Boa"
"641",537," Japura"
"642",537," Tonantins"
"643",538,"Novo Airao"
"644",538," Presidente Figueiredo"
"645",538," Rorainipolis"
"646",538," Sao Joao da Baliza"
"647",538," UrucarI"
"648",539,"Uarini"
"649",540,"Autazes"
"650",541,"Autazes"
"651",542,"Autazes"
"652",543,"Autazes"
"653",544,"Coari"
"654",545,"MCncio Lima"
"655",546,"Beruri"
"656",547,"Tabatinga"
"657",548,"Manacapuru"
"658",549,"Feija"
"659",549," Jordao"
"660",550,"Itamarati"
"661",550," L"
"662",551,"Lagoa da Confusao"
"663",551," Pium"
"664",552,"Jurun"
"665",553,"Benjamin Constant"
"666",554,"Itacoatiara"
"667",555,"Careiro"
"668",556,"Japura"
"669",556," Santa Isabel do Rio Negro"
"670",556," Sao Gabriel da Cachoeira"
"671",557,"Brasnorte"
"672",558,"Lambrea"
"673",558," Tapaud"
"674",559,"Bonfim"
"675",559," Caracara"
"676",560,"Caracara"
"677",561,"Campinepolis"
"678",562,"Agua Boa"
"679",562," CampinFpolis"
"680",562," Nova Xavantina"
"681",563,"Novo Sao Joaquim"
"682",564,"Cantx"
"683",565,"Cantx"
"684",566,"Canta"
"685",567,"Amajari"
"686",568,"Porto Walter"
"687",568," Tarauacs"
"688",569,"Tabatinga"
"689",570,"Santo Ant"
"690",571,"Normandia"
"691",571," Pacaraima"
"692",571," Uiramuta"
"693",572,"Centro Novo do Maranhao"
"694",572," Governador Newton Bello"
"695",572," Sao Joao do Caro"
"696",572," Zt Doca"
"697",573,"Bom Jardim"
"698",574,"Altamira"
"699",575,"Chupinguaia"
"700",575," Corumbiara"
"701",576,"Japurs"
"702",576," Santa Isabel do Rio Negro"
"703",577,"Santa Isabel do Rio Negro"
"704",578,"Pontes e Lacerda"
"705",578," Porto Esperidiao"
"706",578," Vila Bela da Santasima Trindade"
"707",579,"Feija"
"708",579," Santa Rosa do Purus"
"709",580,"Sao Falix do Xingu"
"710",581,"Peixoto de Azevedo"
"711",581," Sao Josc do Xingu"
"712",582,"Autazes"
"713",582," Borba"
"714",583,"Altamira"
"715",583," Anapu"
"716",583," Sao Fulix do Xingu"
"717",583," Senador Jos  Porfsrio"
"718",584,"Canarana"
"719",584," Feliz Natal"
"720",584," Gaxcha do Norte"
"721",584," Marcelondia"
"722",584," Nova Ubirata"
"723",584," Paranatinga"
"724",584," Quertncia"
"725",584," Sao Filix do Araguaia"
"726",584," Sao Josa do Xingu"
"727",585,"Obidos"
"728",586,"Cachoeirinha"
"729",586," Maurillndia do Tocantins"
"730",586," Sao Bento do Tocantins"
"731",586," Tocantinapolis"
"732",587,"Alto Alegre"
"733",588,"Canarana"
"734",588," Ga"
"735",589,"Alvorada d'Oeste"
"736",589," Cacaulendia"
"737",589," Campo Novo de Rondonia"
"738",589," Costa Marques"
"739",589," Governador Jorge Teixeira"
"740",589," Guajar -Mirim"
"741",589," Jaru"
"742",589," Mirante da Serra"
"743",589," Monte Negro"
"744",589," Nova Mamor"
"745",590,"HumaitP"
"746",591,"Humait"
"747",592,"Tarauaca"
"748",593,"Fonte Boa"
"749",593," Japurm"
"750",593," Tonantins"
"751",594,"Garrafao do Norte"
