OBJECTID,HYDRO_NAME,RIVER,HYDRO_STAT,CONTR_BEGI,RES_FILL,OPER_DATE,PROD_APPRO,PROD_FISC,AREA_RESER,AREA_FLOOD,MUNIC_CODE,MUNICIP,MUNIC_STAT,LAT,LON,NEAR_FID,NEAR_DIST,NEAR_FC
33,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,179.43,1721000,Palmas,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
34,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,350.07,1718204,Porto Nacional,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
35,Manso,Manso,MT,1988,2000,11/29/2000 0:00,"210,000","210,900",401.8,340.01,5103007,Chapada dos Guimarães,MT,-14.874,-55.7854,939,24372.84969,All_UCs
36,Manso,Manso,MT,1988,2000,11/29/2000 0:00,"210,000","210,900",401.8,61.79,5106208,Nova Brasilândia,MT,-14.874,-55.7854,939,24372.84969,All_UCs
37,Peixe Angical,Tocantins,TO,2002,2006,6/27/2006 0:00,"498,750","498,750",318.45,186.23,1716208,Paranã,TO,-12.2391,-48.3824,42,0,All_UCs
38,Peixe Angical,Tocantins,TO,2002,2006,6/27/2006 0:00,"498,750","498,750",318.45,24.46,1716604,Peixe,TO,-12.2391,-48.3824,42,0,All_UCs
39,Peixe Angical,Tocantins,TO,2002,2006,6/27/2006 0:00,"498,750","498,750",318.45,107.76,1720259,São Salvador do Tocantins,TO,-12.2391,-48.3824,42,0,All_UCs
40,Ponte de Pedra,Correntes,MT,2001,2004,7/19/2005 0:00,"176,100","176,100",15.62,7.32,5104609,Itiquira,MT,-17.6098,-54.8266,1405,45321.49456,All_UCs
41,Rondon II,Comemoração,RO,2006,2009,3/31/2011 0:00,"73,500","73,500",75.87,75.87,1100189,Pimenta Bueno,RO,-11.997,-60.6968,1009,105600.4248,All_UCs
42,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,23.59,1100403,Alto Paraíso,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
43,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,423.64,1100809,Candeias do Jamari,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
44,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,2.03,1100940,Cujubim,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
45,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,230.26,1101104,Itapuã do Oeste,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
46,Santo Antônio,Madeira,RO,2008,2011,3/30/2012 0:00,"3,150,400","2,286,080",518.82,518.82,1100205,Porto Velho,RO,-8.8007,-63.9493,1288,0,All_UCs
47,Santo Antônio do Jari,Jari,AP,2009,2014,9/17/2014 0:00,"373,400","373,400",31.7,17.99,1500503,Almeirim,PA,-0.6496,-52.5163,835,15461.65794,All_UCs
48,Santo Antônio do Jari,Jari,AP,2009,2014,9/17/2014 0:00,"373,400","373,400",31.7,21.15,1600279,Laranjal do Jari,AP,-0.6496,-52.5163,835,15461.65794,All_UCs
49,São Salvador,Tocantins,TO,2006,2008,8/6/2009 0:00,"243,200","243,200",99.66,44.51,1715754,Palmeirópolis,TO,-12.8098,-48.2393,628,0,All_UCs
50,São Salvador,Tocantins,TO,2006,2008,8/6/2009 0:00,"243,200","243,200",99.66,45.22,1716208,Paranã,TO,-12.8098,-48.2393,628,0,All_UCs
51,São Salvador,Tocantins,TO,2006,2008,8/6/2009 0:00,"243,200","243,200",99.66,3.71,1720259,São Salvador do Tocantins,TO,-12.8098,-48.2393,628,0,All_UCs
52,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",238.33,1501782,Breu Branco,PA,-3.8318,-49.6519,354,0,All_UCs
53,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",546.18,1503093,Goianésia do Pará,PA,-3.8318,-49.6519,354,0,All_UCs
54,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",154.9,1503705,Itupiranga,PA,-3.8318,-49.6519,354,0,All_UCs
55,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",342.48,1503804,Jacundá,PA,-3.8318,-49.6519,354,0,All_UCs
56,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",43.57,1504208,Marabá,PA,-3.8318,-49.6519,354,0,All_UCs
57,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",124.91,1504976,Nova Ipixuna,PA,-3.8318,-49.6519,354,0,All_UCs
58,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29","1,441.30",1505064,Novo Repartimento,PA,-3.8318,-49.6519,354,0,All_UCs
59,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",621.62,1508100,Tucuruí,PA,-3.8318,-49.6519,354,0,All_UCs
