"","State","Municipality"
"209","AM"," Librea"
"210","AM","Humaiti"
"211","AM"," ManicorR"
"212","AM","Careiro da V"
"213","AM"," Japura"
"214","AM"," Tonantins"
"215","AM, RR","Novo Airao"
"216","AM, RR"," Presidente Figueiredo"
"217","AM, RR"," Rorainipolis"
"218","AM, RR"," Sao Joao da Baliza"
"219","AM, RR"," UrucarI"
"220","AM","Coari"
"221","AM","Tabatinga"
"222","AM","Itamarati"
"223","AM"," L"
"224","TO","Lagoa da Confusao"
"225","AM","Jurun"
"226","MT","Brasnorte"
"227","AM"," Tapaud"
"228","RR"," Caracara"
"229","RR","Caracara"
"230","MT","Campinepolis"
"231","MT"," CampinFpolis"
"232","MT"," Nova Xavantina"
"233","MT","Novo Sao Joaquim"
"234","RR","Cantx"
"235","RR","Canta"
"236","AC","Porto Walter"
"237","AC"," Tarauacs"
"238","AM","Santo Ant"
"239","RR","Normandia"
"240","RR"," Pacaraima"
"241","RR"," Uiramuta"
"242","MA","Centro Novo do Maranhao"
"243","MA"," Governador Newton Bello"
"244","MA"," Sao Joao do Caro"
"245","MA"," Zt Doca"
"246","MA","Bom Jardim"
"247","RO"," Corumbiara"
"248","MT","Pontes e Lacerda"
"249","MT"," Porto Esperidiao"
"250","MT"," Vila Bela da Santasima Trindade"
"251","PA","Sao Falix do Xingu"
"252","MT","Peixoto de Azevedo"
"253","MT"," Sao Josc do Xingu"
"254","AM"," Borba"
"255","PA"," Anapu"
"256","PA"," Sao Fulix do Xingu"
"257","PA"," Senador Jos  Porfsrio"
"258","MT"," Feliz Natal"
"259","MT"," Gaxcha do Norte"
"260","MT"," Marcelondia"
"261","MT"," Nova Ubirata"
"262","MT"," Paranatinga"
"263","MT"," Quertncia"
"264","MT"," Sao Filix do Araguaia"
"265","MT"," Sao Josa do Xingu"
"266","PA","Obidos"
"267","TO","Cachoeirinha"
"268","TO"," Maurillndia do Tocantins"
"269","TO"," Sao Bento do Tocantins"
"270","TO"," Tocantinapolis"
"271","MT"," Ga"
"272","RO","Alvorada d'Oeste"
"273","RO"," Cacaulendia"
"274","RO"," Campo Novo de Rondonia"
"275","RO"," Costa Marques"
"276","RO"," Governador Jorge Teixeira"
"277","RO"," Guajar -Mirim"
"278","RO"," Jaru"
"279","RO"," Mirante da Serra"
"280","RO"," Monte Negro"
"281","RO"," Nova Mamor"
"282","AM","HumaitP"
"283","AM"," Japurm"
"284","PA","Garrafao do Norte"
"285","PA"," Nova Esperana do Piri "
"286","PA"," Paragominas"
"287","PA"," Santa Luzia do Para"
"288","MA","Araguana"
"289","MA"," Centro do Guilherme"
"290","MA"," Centro Novo do Maranhao"
"291","MA"," Maranhaozinho"
"292","MA"," Santa Luzia do Parux"
"293","MA"," Za Doca"
"294","MT, PA","ApiacAs"
"295","MT, PA"," Jacareacanga"
"296","MT","Campo Novo do Parecis"
"297","MT"," Diamantino"
"298","MT"," Nova MaringM"
"299","MT, PA","Altamira"
"300","MT, PA"," Guaranta do Norte"
"301","MT, PA"," Matupe"
"302","AM"," Tapaui"
"303","MT, PA"," Matupa"
"304","MT, PA"," Peixoto de Azevedo"
"305","MT, PA"," Sao FIlix do Xingu"
"306","AC","Assis Brasil"
"307","AC"," Sena Madureira"
"308","MT","Campos de Jalio"
"309","MT"," Sapezal"
"310","MT","Sapezal"
"311","MT","Conquista D'Oeste"
"312","PA"," Placas"
"313","PA"," Uruara"
"314","MT","Colniza"
"315","MT","Barra do GarRas"
"316","MT","Barra do Gar as"
"317","MT"," General Carneiro"
"318","AM"," Labrea"
"319","MA"," Formosa da Serra Negra"
"320","MA"," Mirador"
"321","PA","Maraba"
"322","PA"," Sao Domingos do Araguaia"
"323","PA"," Sao Geraldo do Araguaia"
"324","AM, RR","Alto Alegre"
"325","AM, RR"," Barcelos"
"326","AM, RR"," Boa Vista"
"327","AM, RR"," Caracaral"
"328","AM, RR"," Mucajaa"
"329","AM, RR"," Santa Isabel do Rio Negro"
"330","AM, RR"," Sao Gabriel da Cachoeira"
"331","AM"," Novo Aripuana"
"332","AM","Manicoro"
"333","AM","Manicora"
"334","AM"," Manicor"
"335","PA, TO","Araguacema"
"336","PA, TO"," Santa Maria das Barreiras"
"337","AM","Careiro da Varzea"
"338","PA","Aurora do Para"
"339","PA"," Santa Maria do Para"
"340","PA"," Toma-Aiu"
"341","PA","Goianysia do Para"
"342","PA","Portel"
"343","PA","Santarem"
"344","PA","Santarnm"
"345","PA","Itamarati"
"346","PA","Santar"
"347","PA","Santarum"
"348","PA","Aveiro"
"349","PA"," Trairao"
"350","AM"," Careiro da V rzea"
"351","AM","Manaus e Novo Airao"
"352","AM","HumaitV"
"353","RO","Ji-Parana"
"354","RO","Sao Francisco do Guaporo"
"355","RO"," Seringueiras"
"356","MT"," Juina"
"357","MT, PA","Santa Cruz do Xingu"
"358","MT, PA"," Sao F"
"359","MT","Marcel"
"360","MT"," Cocalinho"
"361","MT"," Campin"
"362","MT"," Campin(polis"
"363","MT"," Santo Ant"
"364","MT"," Nova Nazaro"
"365","MT","Santo Antonio do Leverger"
"366","MT","Diamantino"
"367","MT"," Nortelandia"
"368","MT"," Vila Bela da Santossima Trindade"
"369","AM","Barcelos"
"370","AM","Sao Gabriel da Cachoeira"
"371","AM","Jurum"
"372","AM"," Jutau"
"373","AM","Sao Paulo de Olivenva"
"374","RO","Candeias do Jamari"
"375","AC","Sena Madureira"
"376","AM"," Sao Paulo de Olivenoa"
"377","AM"," Sao Paulo de Oliven"
"378","MT, RO","Ju"
"379","MT, RO","na"
"380","MT, RO"," Vilhena"
"381","RO","Ji-ParanN"
"382","AM","Careiro da Vdrzea"
"383","PA","Senador JosU Porf"
"384","PA","Paragominas"
"385","MS","CorumbG"
"386","TO","Tocantinapolis e Nazar "
"387","MT","Luciara e Santa Terezinha"
"388","PA","Santarbm"
"389","PA","Santarmm"
"390","PA","Oriximin"
"391","MT","Apiaces"
"392","MT","Cotriguasu"
"393","MT","Santa Terezinha"
"394","RO"," Parecis"
"395","RO"," Pimenteiras do Oeste"
"396","MT"," Rondol ndia"
"397","AM"," Tapauo"
"398","PA","Floresta do Araguaia"
"399","PA"," Pau d'Arco"
"400","PA"," Redenoao"
"401","AM, RO","Lambrea"
"402","AM, RO"," Porto Velho"
"403","TO","Pium"
"404","PA","Tucuru"
"405","PA","Santa Maria das Barrreiras"
"406","AM","Jutam"
"407","AM","Santo Antinio do Ipe"
"408","MT"," Vila Bela da Santassima Trindade"
"409","TO","Sandolandia"
"410","AM, PA, RR","Caroebe"
"411","AM, PA, RR"," Faro"
"412","AM, PA, RR"," NhamundK"
"413","AM, PA, RR"," Oriximin"
"414","AM, PA, RR",""
"415","AM, PA, RR"," Sao Joao da Baliza"
"416","AM, PA, RR"," Urucara"
"417","AM","Tonantins"
"418","PA","Belterra"
"419","AM"," Tapaua"
"420","MT","Matupa"
"421","AM","Japur "
