OBJECTID,MUNICIPALITY
581,Peixoto de Azevedo
581, Sao Josc do Xingu
582,Autazes
582, Borba
583,Altamira
583, Anapu
583, Sao Fulix do Xingu
583, Senador Jos  Porfsrio
584,Canarana
584, Feliz Natal
584, Gaxcha do Norte
584, Marcelondia
584, Nova Ubirata
584, Paranatinga
584, Quertncia
584, Sao Filix do Araguaia
584, Sao Josa do Xingu
585,Obidos
586,Cachoeirinha
586, Maurillndia do Tocantins
586, Sao Bento do Tocantins
586, Tocantinapolis
587,Alto Alegre
588,Canarana
588, Ga
589,Alvorada d'Oeste
589, Cacaulendia
589, Campo Novo de Rondonia
589, Costa Marques
589, Governador Jorge Teixeira
589, Guajar -Mirim
589, Jaru
589, Mirante da Serra
589, Monte Negro
589, Nova Mamor
590,HumaitP
591,Humait
592,Tarauaca
593,Fonte Boa
593, Japurm
593, Tonantins
594,Garrafao do Norte
594, Nova Esperana do Piri 
594, Paragominas
594, Santa Luzia do Para
595,Araguana
595, Centro do Guilherme
595, Centro Novo do Maranhao
595, Maranhaozinho
595, Santa Luzia do Parux
595, Za Doca
596,ApiacAs
596, Jacareacanga
597,Jacareacanga
598,Jacareacanga
599,Altamira
600,Santo Ant
601,Campo Novo do Parecis
601, Diamantino
601, Nova MaringM
602,Bom Jardim
603,Brasnorte
604,Brasnorte
605,Altamira
605, Guaranta do Norte
605, Matupe
606,Anori
606, Beruri
606, Tapaui
607,Tapaun
608,Altamira
608, Matupa
608, Peixoto de Azevedo
608, Sao FIlix do Xingu
609,Assis Brasil
609, Sena Madureira
610,Assis Brasil
610, Sena Madureira
611,Campos de Jalio
611, Nova Lacerda
612,Tangar
613,Campo Novo do Parecis
613, Sapezal
614,Sapezal
615,Conquista D'Oeste
616,Altamira
616, Placas
616, Uruara
617,Colniza
618,Barra do GarRas
619,Barra do Gar as
619, General Carneiro
620,Amajari
621,Boa Vista
621, Pacaraima
622,Amarante do Maranhao
623,Lagoa da Confusao
624,Canutama
624, Labrea
625,Barra do Corda
625, Fernando Falcao
625, Formosa da Serra Negra
625, Mirador
626,Grajaj
627,Maraba
627, Sao Domingos do Araguaia
627, Sao Geraldo do Araguaia
628,Alto Alegre
628, Barcelos
628, Boa Vista
628, Caracaral
628, Mucajaa
628, Santa Isabel do Rio Negro
628, Sao Gabriel da Cachoeira
629,Boca do Acre
630,Guajaro-Mirim
631,Borba
631, Novo Aripuana
632,Amatur
633,Amatur
634,Jutan
635,Manicoro
636,Manicora
637,Humaiti
637, Manicor
638,Araguacema
638, Santa Maria das Barreiras
639,Careiro da Varzea
640,Barra do Corda
640, Fernando Falcao
641,Barra do Corda
642,Amarante do Maranhao
643,Aurora do Para
643, Santa Maria do Para
643, Toma-Aiu
644,Goianysia do Para
645,Portel
646,Vituria do Xingu
647,Santarem
648,Santarnm
649,Santarnm
650,Itamarati
651,Santar
652,Santarnm
653,Santarnm
654,Santarnm
655,Santarum
656,Aveiro
657,Itaituba
658,Itaituba
659,Itaituba
659, Trairao
660,Autazes
661,Autazes
662,Autazes
663,Autazes
664,Autazes
664, Careiro da V rzea
665,Autazes
666,Autazes
667,Borba
668,Manaquiri
669,Manaquiri
670,Manacapuru
671,Beruri
672,Manaus e Novo Airao
673,Borba
674,HumaitV
675,Tapaun
676,Aripuana
677,Ji-Parana
678,Sao Francisco do Guaporo
678, Seringueiras
679,Comodoro
680,Comodoro
680, Juina
680, Sapezal
681,Maraba
681, Sao Domingos do Araguaia
681, Sao Geraldo do Araguaia
