OBJECTID,ID_UC,Name,Reserve Type,Class,gov_level,year_created,Polygon_quality,Organization_group_name,ID_TI,ADR6,Population,State,Municipality,OpDam_ID,NEAR_DIST_OpDam_m,Dam_ID,NEAR_DIST_alldams
760,,Arara do Rio Amonia,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Arara,673,Rio Branco,278,AC,Marechal Thaumaturgo,23,886930.4698,20,725884.0999
375,,Arara do Rio Branco,Indigenous Reserve,Indigenous Reserve,Tribal,1998,,Arara,69,Ju,150,MT,Aripuana,4,24450.80182,29,24463.6208
376,,Arariboia,Indigenous Reserve,Indigenous Reserve,Tribal,1996,,Guaj,70,Imperatriz,4174,MA,"Amarante do Maranhao, Arame, Bom Jesus das Selvas, Buriticupu, Graja",5,163469.6897,73,91114.91273
631,,Arary,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Mura,464,Manaus,221,AM,"Borba, Novo Aripuana",0,304892.0186,6,304885.4203
491,,ArawetU IgarapF Ipixuna,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Arawetr,243,Altamira,247,PA,"Altamira, Sao F,lix do Xingu, Senador Josu Porf",3,238474.623,10,143566.7802
331,,Areoes,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Xavante,1,Nova Xavantina,832,MT,Agua Boa,34,372634.7404,79,109617.5024
690,,Areoes,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Xavante,558,Nova Xavantina,832,MT,"Agua Boa, Cocalinho, Nova Nazaro",34,390050.983,79,133733.8078
362,,Aripuana,Indigenous Reserve,Indigenous Reserve,Tribal,1994,,Cinta Larga,52,Cacoal,149,MT,"Aripuana, Ju na",4,19091.38011,29,19104.83113
635,,Ariramba,Indigenous Reserve,Indigenous Reserve,Tribal,2006,,Mura,468,Manaus,73,AM,Manicoro,41,311338.863,75,299465.4781
572,,Awa,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,GuajL,369,Sao Lu s,198,MA,"Centro Novo do Maranhao, Governador Newton Bello, Sao Joao do Caro, Zt Doca",51,340848.0956,73,247189.3427
599,,Ba0,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,MenkrangnotU,407,Col,65,PA,Altamira,3,403375.7854,15,235388.4776
514,,Bacurizinho,Indigenous Reserve,Indigenous Reserve,Tribal,1984,,Guajajara,286,Sao Luis,1976,MA,Grajaj,5,179806.0902,76,136187.6904
626,,Bacurizinho,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Guajajara,448,Sao Luns,1976,MA,Grajaj,5,169384.0654,76,125775.2554
364,,Badjonkore,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Kayap,55,Reden,82,PA,"Cumaru do Norte, Sao F",28,383309.5016,46,383346.1279
485,,Baia do Guatl,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Guat,226,Cuiab,0,MT,"Barao de Melgaao, Pocont",19,173413.6641,36,173419.4192
674,,Baixo Grande,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Tor,542,Porto Velho,0,AM,HumaitV,41,331886.727,75,296818.7864
697,,Baixo Rio Negro,Indigenous Reserve,Indigenous Reserve,Tribal,2007,, ,565,Manaus,2515,AM,Barcelos,0,453227.3599,59,415018.2207
745,,Baixo Rio Negro II,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Maku e Tukano,619,Sao Gabriel da Cachoeira,0,AM,Santa Isabel do Rio Negro,0,652005.5121,59,625409.4142
655,,Baixo TapajAs,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,"Munduruku, Tupinambt, Cara Preta",523,Itaituba,0,PA,Santarum,3,95132.54098,28,95140.15763
656,,Baixo TapajAs II,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,"Munduruku, Maytapu, Cara Preta",524,Itaituba,0,PA,Aveiro,3,119076.5063,28,119079.2186
744,,Baixo TapajAs/Arapiuns,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Munduruku e Arapiun,618,Itaituba,0,PA,Santarum,3,104583.2528,28,104588.4195
479,,Bakairi,Indigenous Reserve,Indigenous Reserve,Tribal,1987,,Bakairi,219,Cuiab,469,MT,"Paranatinga, Planalto da Serra",34,122289.0093,47,88567.13038
772,,Balaio,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,"Desana, Taridna, Tukano",692,Sao Gabriel da Cachoeira,350,AM,Sao Gabriel da Cachoeira,0,805160.9171,59,758356.0419
765,,Banaw,Indigenous Reserve,Indigenous Reserve,Tribal,2005,,Banawr,680,Rio Branco,100,AM,"Canutama, Librea, Tapauo",45,222871.5518,19,171126.9937
474,,Barata Livramento,Indigenous Reserve,Indigenous Reserve,Tribal,2002,,"Makuxi, Wapixana",214,Boa Vista,548,RR,Alto Alegre,0,595847.5677,59,480971.6719
428,,Barreira da Missao,Indigenous Reserve,Indigenous Reserve,Tribal,1991,,Kamb,148,Manaus,480,AM,Tefb,0,590952.3243,19,575827.9105
735,,Barreirinha,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Amanay,604,Marab,73,PA,Paragominas,51,146876.9743,80,146867.5487
795,,Barro Alto,Indigenous Reserve,Indigenous Reserve,Tribal,2007,,Kokama,731,Tabatinga,0,AM,Tonantins,45,776613.1458,19,678417.4024
515,,Batelao,Indigenous Reserve,Indigenous Reserve,Tribal,2007,,Kayabi,287,Cuiabi,0,MT,"Juara, Nova Canaa do Norte, Tabapora",4,299459.8085,27,71018.77803
466,,Batovi,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Wauru,197,Xingu,236,MT,Ga,34,284621.3839,47,152893.6053
736,,Betania,Indigenous Reserve,Indigenous Reserve,Tribal,1996,,Tikuna,605,Manaus,2085,AM,Amatur,45,740948.2138,20,630306.9531
349,,Boa Vista - AM,Indigenous Reserve,Indigenous Reserve,Tribal,2002,,Mura,23,Manaus,38,AM,Careiro,0,145293.371,6,145284.7014
639,,Boa Vista - AM,Indigenous Reserve,Indigenous Reserve,Tribal,2003,,Mura,475,Manaus,38,AM,Careiro da V rzea,0,143806.204,6,143797.5341
418,,Boca do Acre,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Apurina,138,Rio Branco,121,AM,"Boca do Acre, Lrbrea",23,237377.6272,20,78688.99334
770,,Bom Intento,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Tikuna,690,Tabatinga,120,AM,Benjamin Constant,23,798232.9385,20,643386.2443
335,,Bom Jesus,Indigenous Reserve,Indigenous Reserve,Tribal,1996,,Makuxi,7,Boa Vista,200,RR,Bonfim,0,592617.5283,59,475886.5587
587,,Boqueirao,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,"Makuxi, Wapixana",390,Boa Vista,283,RR,Alto Alegre,0,597263.7116,59,483742.961
647,,Borari de Alter do Chao,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Borari,515,Itaituba,0,PA,Santar,3,74202.15664,28,74214.80012
788,,Braganea-Marituba,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Munduruku,723,Itaituba,0,PA,Belterra,3,73763.78309,28,73768.45899
742,,Brinco das Mo as,Indigenous Reserve,Indigenous Reserve,Tribal,2003,, ,616,Itaituba,0,PA,Santarbm,3,126446.0046,28,126455.8453
610,,Cabeceira do Rio Acre,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Jaminawa,424,Rio Branco,161,AC,"Assis Brasil, Sena Madureira",23,574863.2078,20,448381.1331
421,,Cacau do Tarauaca,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Kulina,141,Rio Branco,230,AM,Envira,23,597864.5547,20,425469.4357
616,,Cachoeira Seca,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Arara,430,Altamira,56,PA,"Altamira, Placas, UruarS",3,140873.9809,28,140863.145
792,,Cacique Fontoura,Indigenous Reserve,Indigenous Reserve,Tribal,2010,,Karaj,728,Sao F,489,MT,"Luciara, Sao Frlix do Araguaia",36,270948.9883,34,243463.5474
717,,Caiapuca,Indigenous Reserve,Indigenous Reserve,Tribal, ,,Jaminawa,585,Rio Branco,72,AM,Boca do Acre,23,368416.9428,20,205681.1287
532,,Caititu,Indigenous Reserve,Indigenous Reserve,Tribal,1988,,Apurina,309,Rio Branco,220,AM,LMbrea,45,88842.93108,19,84331.10047
492,,Cajueiro,Indigenous Reserve,Indigenous Reserve,Tribal,1995,,Makuxi,246,Boa Vista,90,RR,Amajari,0,656370.35,59,541915.3983
544,,Cajuhiri Atravessado,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Kamb,321,Manaus,49,AM,Coari,0,481379.5537,6,481382.1049
521,,Camadeni,Indigenous Reserve,Indigenous Reserve,Tribal,2000,,Jamamadi,298,Rio Branco,68,AM,Pauini,23,318579.0963,20,174745.5388
533,,Camicua,Indigenous Reserve,Indigenous Reserve,Tribal,1995,,Apurina,310,Rio Branco,265,AM,Boca do Acre,23,299388.8554,20,129969.2998
463,,Campinas/Katukina,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Katukina,194,Rio Branco,175,AC,"Cruzeiro do Sul, Tarauacm",23,826574.6792,20,656510.3713
403,,Cana Brava/Guajajara,Indigenous Reserve,Indigenous Reserve,Tribal,1996,,Guajajara,122,Barra do Corda,4822,MA,"Barra do Corda, Grajae, Jenipapo dos Vieiras",5,219863.0379,76,142543.9899
564,,Canauanim,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,"Makuxi, Wapixana",355,Boa Vista,287,RR,Cantx,0,525248.5412,59,409024.2147
781,,Canoana,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Javap,710,Gurupi,0,TO,Formoso do Araguaia,36,156769.9175,56,156815.6248
665,,Capivara,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Mura,533,Manaus,154,AM,Autazes,0,184463.2827,6,184454.8199
581,,Capoto/Jarina,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Mentuktire,380,Col,556,MT,"Peixoto de Azevedo, Sao Josc do Xingu",28,479664.2284,74,232646.7509
573,,Caru,Indigenous Reserve,Indigenous Reserve,Tribal,1983,,Guajajara,370,Barra do Corda,136,MA,Bom Jardim,5,320768.0053,73,227261.1395
411,,Catipari/Mamoria,Indigenous Reserve,Indigenous Reserve,Tribal,2000,,Apurina,131,Rio Branco,120,AM,Pauini,23,275760.3458,20,130977.6337
596,,Cayabi,Indigenous Reserve,Indigenous Reserve,Tribal,2007,,"Apiake/Koyabi, Kayabi, Munduruku",404,Col,297,"MT, PA","ApiacAs, Jacareacanga",4,220107.9221,71,1351.219639
598,,Cayabi,Indigenous Reserve,Indigenous Reserve,Tribal,1983,,"Apiake/Koyabi, Kayabi, Munduruku",406,Col0der,297,PA,Jacareacanga,4,258375.3967,32,38075.97496
561,,Chao Preto,Indigenous Reserve,Indigenous Reserve,Tribal,2002,,Xavante,352,Nova Xavantina,56,MT,Campinepolis,34,264293.1967,79,66698.75723
746,,Chiquitano de Baia Grande,Indigenous Reserve,Indigenous Reserve,Tribal,2005,,Xiquitano,620,Vilhena,58,MT,Pontes e Lacerda,17,64225.9625,33,64228.24869
461,,Coata-Laranjal,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Munduruku,192,Manaus,1768,AM,Borba,0,228550.9136,37,191518.7599
648,,Cobra Grande,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Arapiun,516,Itaituba,0,PA,Santarnm,3,106847.5965,11,105043.5807
698,,Cu6 CuT/ Marabitanas,Indigenous Reserve,Indigenous Reserve,Tribal,2010,,Bar,566,Sao Gabriel da Cachoeira,0,AM,Sao Gabriel da Cachoeira,0,872469.2664,59,827678.1471
436,,Cuia,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Mura,156,Manaus,75,AM,Autazes,0,176178.4863,6,176169.2129
419,,Cuiu-Cuiu,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Miranha,139,Manaus,367,AM,Maraa,0,603892.2377,6,603898.6253
582,,Cunha-Sapucaia,Indigenous Reserve,Indigenous Reserve,Tribal,2010,,Mura,381,Manaus,564,AM,"Autazes, Borba",0,262654.6858,6,262648.6757
550,,Deni,Indigenous Reserve,Indigenous Reserve,Tribal,2007,,Deni,331,Manaus,666,AM,"Itamarati, L",23,327821.963,20,193402.3309
591,,Diahui,Indigenous Reserve,Indigenous Reserve,Tribal,2006,,Diahui,399,Porto Velho,17,AM,Humait,41,141178.396,75,80425.53789
680,,Enawen,Indigenous Reserve,Indigenous Reserve,Tribal,2007,,Enauwens-NawS,548,Ju,300,MT,"Comodoro, JuSna e Sapezal",40,186986.9992,22,113854.9471
730,,EnawenU-NawU,Indigenous Reserve,Indigenous Reserve,Tribal,1998,,Enauwend-Nawi,599,Ju2na,300,MT,"Comodoro, Juina, Sapezal",40,104797.0659,22,34584.30229
731,,EnawenU-NawU,Indigenous Reserve,Indigenous Reserve,Tribal,1998,,Enauweníé-Naw_ƒŸ,600,Ju2na,300,MT,"Comodoro, Ju_ƒŸna, Sapezal",40,107720.8898,64,107709.1579
755,,Erikpatsl,Indigenous Reserve,Indigenous Reserve,Tribal,1987,,Erikbakts,652,Ju,550,MT,Brasnorte,4,149198.5204,25,434.1845179
753,,Escondido,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Erikbakts,650,Ju,45,MT,Cotriguasu,4,87430.71825,29,87421.97806
750,,Escrivao,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,"Maytapu, Cara Preta/Munduruku",639,Itaituba,0,PA,Aveiro,3,136618.0652,28,136619.1468
634,,Esp0rito Santo,Indigenous Reserve,Indigenous Reserve,Tribal,2006,,Tikuna,467,Manaus,121,AM,Jutan,45,739713.7627,19,654865.9863
693,,Esta0ao Parecis,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Paresi,561,Tangar  da Serra,34,MT,"Diamantino, Nortelandia",26,133032.041,8,80845.22058
486,,Estivadinho,Indigenous Reserve,Indigenous Reserve,Tribal,1994,,Paresi,229,Tangaro da Serra,13,MT,Tangar,24,59867.36608,43,47583.04671
422,,Estrela da Paz,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Tikuna,142,Manaus,333,AM,Jutan,45,724666.3674,19,643827.4793
689,,Eterairebere,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Xavante,557,Nova Xavantina,0,MT,"Campinepolis, Novo Sao Joaquim, Santo Ant",34,300726.2055,79,61483.79077
487,,Figueiras,Indigenous Reserve,Indigenous Reserve,Tribal,1996,,Paresi,230,Tangard da Serra,13,MT,"Barra do Bugres, Tangar  da Serra",20,45089.20571,43,44758.44211
459,,Fortaleza do Castanho,Indigenous Reserve,Indigenous Reserve,Tribal,2003,,Mura,190,Manaus,75,AM,Manaquiri,0,230450.8488,6,230447.3323
548,,Fortaleza do Pataun,Indigenous Reserve,Indigenous Reserve,Tribal,2006,,Apurina,325,Manaus,11,AM,Manacapuru,0,194491.9621,6,194491.4628
340,,Funil,Indigenous Reserve,Indigenous Reserve,Tribal,1994,,Xerente,14,Gurupi,190,TO,Tocantenia,28,9098.407047,46,9053.398352
377,,Galibi,Indigenous Reserve,Indigenous Reserve,Tribal,1983,,Galibi,76,Oiapoque,168,AP,Oiapoque,2,335637.038,13,231468.04
712,,Garaperi/Lago da Vitoria,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Apurina,580,Rio Branco,130,AM,Pauini,23,305433.2824,20,133810.9394
534,,Gaviao,Indigenous Reserve,Indigenous Reserve,Tribal,2002,,Mura,311,Manaus,77,AM,Careiro da V,0,160594.7215,6,160586.5694
478,,Geralda Toco Preto,Indigenous Reserve,Indigenous Reserve,Tribal,1996,,Timbira,218,Barra do Corda,118,MA,"Arame, Itaipava do Grajaa",5,254094.6746,73,200631.2423
622,,Governador,Indigenous Reserve,Indigenous Reserve,Tribal,1983,,kanela,440,Imperatriz,655,MA,Amarante do Maranhao,5,139460.9816,73,82284.42111
642,,Governador,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,kanela,510,Imperatriz,655,MA,Amarante do Maranhao,5,154839.7076,73,101765.0467
520,,Guajaha,Indigenous Reserve,Indigenous Reserve,Tribal,2000,,Apurina,297,Rio Branco,135,AM,Pauini,23,288315.4117,20,133251.2799
705,,Guanabara,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Kokama Tikuna,573,Tabatinga,0,AM,Benjamin Constant,23,769363.7834,20,613391.5751
663,,Guapenu,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Mura,531,Manaus,285,AM,Autazes,0,176831.0007,6,176821.6482
737,,Guat0,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Guato,606,Campo Grande,382,MS,CorumbG,20,282285.4646,38,282276.7747
558,,Hi Merima,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Hi Merima,348,Rio Branco,80,AM,"LMbrea, Tapaud",23,229473.6518,19,126271.1247
685,,Hu'uhi,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Xavante,553,Nova Xavantina,0,MT,Paranatinga,34,257908.0923,79,123178.8
677,,Igarapo Lourdes,Indigenous Reserve,Indigenous Reserve,Tribal,2003,,Gaviao,545,Cacoal,500,RO,Ji-Paran2,40,210852.5557,75,165221.841
708,,Igarapp Preto/Pauana,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Kanamari,576,Rio Branco,120,AM,Carauari,23,507987.4438,20,384151.3368
763,,Igarapp Taboca do Alto Tarauac,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Isolados,677,Rio Branco,0,AC,Jordao,23,785024.0152,20,627434.5219
