Dam_ID,OpDam_ID,NAME,STAGE,LATITUDE,LONGITUDE,COMPFIN7,MUNIC,MUNIC2,STATE,RIVER,OUTPUT_KW,AREA_RES,FLOODED_AREA,CONTR_BEGI,RES_FILL,OPER_MONTH,OPER_YEAR
1,,Agua Branca,Inventoried,0.955955,-52.024881,N5O,Ferreira Gomes, ,AP,Amapari,73000,0,,,,,
2,,Agua Limpa,Technical Feasibility Accepted,-15.371389,-53.369722,N5O,General Carneiro,Novo Sao Joaquim,MT,das Mortes,320000,17.9,,,,,
3,,Araguainha,Inventoried,-16.8875,-53.021111,N5O,Santa Rita do Araguaia,Alto Araguaia,GO,Araguaia,48000,57.4,,,,,
4,,Araguann,Inventoried,-6.616667,-48.65,N4O,Araguan,Pioarra,TO,Baixo Araguaia / Tocantins (Revis/o),960000,2297,,,,,
5,,Arraias,Inventoried,-12.425833,-47.451389,N4O,Concei,Parana,TO,Palma,93000,72.8,,,,,
6,1,Balbina,Operational,-1.9154,-59.4729,SIM,Presidente Figueiredo,,AM,Uatum‹,"249,750","4,437.72","4,418.08",1977,1987,2,1989
6,2,Balbina,Operational,-1.9154,-59.4729,SIM,Urucara,,AM,Uatum‹,"249,750","4,437.72",19.64,1977,1987,2,1989
7,,Bambu I,Inventoried,0.792,-52.608333,N5O,Pedra Branca do Amapari, ,PB,Araguari,84000,0,,,,,
8,,Barra do Claro,Inventoried,-13.411944,-56.581667,N5O,Sao Jos,Nova Mutum,MT,Arinos,61000,69.27,,,,,
9,,Barra do Palma,Inventoried,-12.608799,-47.797096,N4O,Parana, ,TO,Palma,58000,82,,,,,
10,,Belo Monte,Technical Feasibility Approved,-3.126389,-51.775,N5O,Vitaria do Xingu, ,PA,Xingr,11187000,440,,,,,
11,,Berimbau,Technical Feasibility Registered,-1.331389,-55.1775,N5O,Alenquer, ,PA,Curuq,66000,16.02,,,,,
12,,Brej,Technical Feasibility Registered,-10.156944,-46.951389,N4O,Sao Felix do Tocantins, ,TO,do Sono,75000,6.08,,,,,
13,,Cachoeira Caldeiroo,Technical Feasibility Registered,1.853,-51.291667,N5O,Pracuaba, ,AP,Araguari,134000,51.25,,,,,
14,,Cachoeira Caracol,Inventoried,-8.802778,-66.148056,N6O,Lambrea, ,AM,Endimari,32600,0.95,,,,,
15,,Cachoeira do Cao,Technical Feasibility Registered,-5.084642,-56.468083,N5O,Itaituba,Traireo,PA,Jamanxim,420000,420,,,,,
16,,Cachoeira do Meio,Inventoried,-8.839444,-66.170278,N6O,Lambrea, ,AM,Ituxi,44900,53.03,,,,,
17,,Cachoeira Duas Irmas,Inventoried,1.433,-51.916667,N5O,Caloene, ,AP,Tartarugal Grande,2300,18.305,,,,,
18,,Cachoeira Fortaleza,Inventoried,-8.832778,-66.148889,N6O,Lambrea, ,AM,Ituxi,50800,1.85,,,,,
19,,Cachoeira Santo Ant,Inventoried,-8.5975,-65.552222,N6O,Lambrea, ,AM,Curuqueto,48400,93.72,,,,,
20,,Cachoeira Sio Josn,Inventoried,-8.801667,-66.209444,N6O,Lambrea, ,AM,Endimari,36000,103.78,,,,,
21,,Cachoeira Velha,Inventoried,-10.238056,-46.873056,N4O,Mateiros, ,TO,Novo,81000,1.95,,,,,
22,,Porto da Serra I,Inventoried,-12.989414,-58.958098,N5O,Sapezal,Campos de Jolio,MT,Juruena (Trecho entre a foz do rio Ju9na e a ponte da rodovia MT-235),64000,2.57,,,,,
23,,Canto do Rio,Technical Feasibility Registered,-8.616944,-45.788333,N4O,Santa Filomena,Tasso Fragoso,PI,Parna ba,65000,76,,,,,
24,,Casca III,Operational,-15.358611,-55.461667,SIM,Chapada dos GuimarSes, ,MT,Casca,12420,0,,,,,
25,,Cinta Larga,Inventoried,-10.963056,-58.331667,N5O,Brasnorte,Juara,MT,do Sangue,193700,165.3,,,,,
26,3,Coaracy Nunes,Operational,0.9035,-51.2588,SIM,Ferreira Gomes,Macapo,AP,Araguari,"76,952",30.37,30.37,1967,1975,12,1975
27,,Colider,Technical Feasibility Registered,-10.984722,-55.762778,N5O,Nova Cana do Norte,Itaiba,MT,Teles Pires,342000,123.32,,,,,
28,4,Curua-una,Operational,-2.811667,-54.298889,SIM,Santarem,,PA,Curua-Una,"30,300",106.25,106.25,1968,1977,1,1977
29,5,Dardanelos,Operational,-10.163333,-59.464167,N5O,Aripuan,,MT,Aripuan,"261,000",0,0,2007,2011,8,2001
30,6,Estreito,Operational,-6.587222,-47.459444,N4O,Babaundia,Estreito,TO,Tocantins,"1,087,000",635.83,94.69,2007,2010,4,2001
30,7,Estreito,Operational,-6.587222,-47.459444,N4O,Barra do Ouro,Estreito,TO,Tocantins,"1,087,000",635.83,47.78,2007,2010,4,2001
30,8,Estreito,Operational,-6.587222,-47.459444,N4O,Darcin—polis,Estreito,TO,Tocantins,"1,087,000",635.83,39.04,2007,2010,4,2001
30,9,Estreito,Operational,-6.587222,-47.459444,N4O,Filadelfia,Estreito,TO,Tocantins,"1,087,000",635.83,114.44,2007,2010,4,2001
30,10,Estreito,Operational,-6.587222,-47.459444,N4O,Goiatins,Estreito,TO,Tocantins,"1,087,000",635.83,15,2007,2010,4,2001
30,11,Estreito,Operational,-6.587222,-47.459444,N4O,Itapiratins,Estreito,TO,Tocantins,"1,087,000",635.83,15.24,2007,2010,4,2001
30,12,Estreito,Operational,-6.587222,-47.459444,N4O,Palmeirante,Estreito,TO,Tocantins,"1,087,000",635.83,25.45,2007,2010,4,2001
30,13,Estreito,Operational,-6.587222,-47.459444,N4O,Palmeiras do Tocantins,Estreito,TO,Tocantins,"1,087,000",635.83,28.02,2007,2010,4,2001
30,14,Estreito,Operational,-6.587222,-47.459444,N4O,Tupiratins,Estreito,TO,Tocantins,"1,087,000",635.83,0.89,2007,2010,4,2001
30,15,Estreito,Operational,-6.587222,-47.459444,N4O,Carolina,Estreito,MA,Tocantins,"1,087,000",635.83,206.43,2007,2010,4,2001
30,16,Estreito,Operational,-6.587222,-47.459444,N4O,Estreito,Estreito,MA,Tocantins,"1,087,000",635.83,48.85,2007,2010,4,2001
31,17,Ferreira Gomes,Operational,0.8524,-51.1996,N5O,Ferreira Gomes,,AP,Araguari,"168,000",17.72,17.72,2011,NA,11,2014
32,,Foz do Apiaccs,Technical Feasibility Registered,-9.206667,-57.0875,N5O,Paranata,Apiocas,MT,Apiacas,275000,59.5,,,,,
33,18,Guapore,Operational,-15.123889,-58.964722,SIM,Pontes e Lacerda,,MT,Guapore,"124,200",5.09,0,2001,2002,4,2003
33,19,Guapore,Operational,-15.123889,-58.964722,SIM,Vale de Sao Domingos,,MT,Guapore,"124,200",5.09,5.09,2001,2002,4,2003
34,,Ipueiras,Technical Feasibility Approved,-11.25,-48.45,N4O,Ipueiras, ,TO,Tocantins,480000,933.5,,,,,
35,,Isamu Ikeda,Operational,-10.700833,-47.793889,SIM,Monte do Carmo,Ponte Alta do Tocantins,TO,Balsas Mineiro,27600,0,,,,,
36,20,Itiquira (Casas de Foras I e II),Operational,-17.090647,-54.830736,SIM,Itiquira,,MT,Itiquira,"156,000",3.71,3.71,1998,2002,11,2002
37,,Jatobd,Technical Feasibility Registered,-5.196619,-56.919674,N5O,Itaituba, ,PA,Tapajus,2338,646.3,,,,,
38,21,Jauru,Operational,-15.235556,-58.727778,SIM,Araputanga,,MT,Jauru,"121,500",4.62,0.1,2000,2002,6,2003
38,22,Jauru,Operational,-15.235556,-58.727778,SIM,Indiava’,,MT,Jauru,"121,500",4.62,2.13,2000,2002,6,2003
38,23,Jauru,Operational,-15.235556,-58.727778,SIM,Jauru,,MT,Jauru,"121,500",4.62,2.39,2000,2002,6,2003
39,24,Jirau,Operational,-9.331111,-64.734444,N6O,Porto Velho,,RO,Madeira,"2,100,000",574.92,574.92,2010,2012,9,2013
40,25,Juba I,Operational,-14.748333,-58.073889,SIM,Barra do Bugres,,MT,Juba,"42,000",0.92,0.65,1989,1995,11,1995
40,26,Juba I,Operational,-14.748333,-58.073889,SIM,Tangara da Serra,,MT,Juba,"42,000",0.92,0.26,1989,1995,11,1995
41,27,Juba II,Operational,-14.756111,-58.023056,SIM,Barra do Bugres,,MT,Juba,"42,000",2.78,2.24,1990,1995,8,1995
41,28,Juba II,Operational,-14.756111,-58.023056,SIM,Tangara da Serra,,MT,Juba,"42,000",2.78,0.54,1990,1995,8,1995
42,,Juba III,Basic Design Approved,-14.680522,-58.133586,N5O,Tangara da Serra, ,MT,Juba,6200,25.33,,,,,
