Name,UC_never_for_km
PARQUE ESTADUAL ENCONTRO DAS AGUAS,930.4028252
PARQUE ESTADUAL GUARIBA,240.9579096
PARQUE ESTADUAL IGARAPeS DO JURUENA,13.61550225
PARQUE ESTADUAL MnE BONIFnCIA,0.709283459
PARQUE ESTADUAL SERRA AZUL,100.9909846
PARQUE ESTADUAL SERRA DO ARACA,327.4537858
PARQUE ESTADUAL SERRA DOS REIS,10.10679747
PARQUE ESTADUAL SERRA RICARDO FRANCO,733.5030763
PARQUE ESTADUAL SERRA SANTA BvRBARA,898.5424404
PARQUE ESTADUAL SUCUNDURI,105.5783847
PARQUE ESTADUAL tGUAS DO CUIABm,101.3845649
PARQUE ESTADUAL TUCUMv,1.6727582
PARQUE ESTADUAL Za BOLO FLs,0.474662283
PARQUE NACIONAL DA AMAZdNIA,0.632870324
PARQUE NACIONAL DA CHAPADA DAS MESAS,1563.881427
PARQUE NACIONAL DA CHAPADA DOS GUIMAR ES,242.721403
PARQUE NACIONAL DA SERRA DA CUTIA,518.5299964
PARQUE NACIONAL DA SERRA DO DIVISOR,0.018706859
PARQUE NACIONAL DA SERRA DO PARDO,465.2854906
PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA,4558.631287
PARQUE NACIONAL DE PACAdS NOVOS,2025.178619
PARQUE NACIONAL DO ACARI,142.9047621
PARQUE NACIONAL DO ARAGUAIA,3640.030813
PARQUE NACIONAL DO CABO ORANGE,3027.06524
PARQUE NACIONAL DO JAMANXIM,0.39050516
PARQUE NACIONAL DO JAs,189.1276821
PARQUE NACIONAL DO JURUENA,969.0444042
PARQUE NACIONAL DO MONTE RORAIMA,160.7473997
PARQUE NACIONAL DO PANTANAL MATOGROSSENSE,847.6591769
PARQUE NACIONAL DO PICO DA NEBLINA,32.36381042
PARQUE NACIONAL DO RIO NOVO,111.0496153
PARQUE NACIONAL DOS CAMPOS AMAZrNICOS,1903.867622
PARQUE NACIONAL MAPINGUARI,1593.078704
PARQUE NACIONAL NASCENTES DO LAGO JARI,118.0996827
PARQUE NACIONAL SERRA DA MOCIDADE,1345.03703
PARQUE NACIONAL VIRUe,1174.040608
REF,235.1251485
